"","Friends/Friendly","romantic","Work/school","family","Close","Casey dislikes Alex","Casey and Alex co-habitate","Alex's Phone","Alex's tablet","Alex's Computer","A shared device","Already Logged in","Shared Password","Guessing attack on Password","Stolen Password","Observation","Coerced Authentication","One Session","More than one session","short session time","long session time ","Daytime","Nighttime","impersonation","snooping","leak","stealth","destructive and misuse","newsfeed","likes","profile","Friends List","Photos or Videos","Messages","Posts / Comments and Status Updates","Apps and Games","Settings","Notifications","Alex's Home","Casey's home","Home space","Work/Study space","Prank","Jealousy","Utilitarian","Curiosity","Harm","Bored","Deliberate","Opportunistic","Undiscovered","Traced","Admission","Immediatly noticeable","blackmail","Relief","Regret","Distress","Empathy","Debased","Amusement","Anger","Violated","Behaviour Change","Recovery","Relationship Change","debased","Punishment","Justified","Recidivism","Shared Device"
"Friends/Friendly","12","0","0","0","2","1","3","7","0","2","A shared device","10","0","2","1","1","0","12","0","6","1","7","2","7","5","leak","1","1","1","1","3","2","3","4","4","0","1","1","7","3","1","1","7","0","1","3","1","0","1","11","3","7","0","4","0","0","2","2","0","Debased","4","3","1","3","0","1","2","0","0","Recidivism","Shared Device"
"romantic","0","22","0","0","0","0","16","10","0","9","0","20","3","0","3","1","1","19","3","6","9","7","11","4","18","0","0","1","3","0","4","3","4","19","6","0","0","1","18","17","1","0","0","18","0","5","2","1","5","15","6","3","9","3","0","4","6","0","0","0","0","10","4","2","2","9","2","0","1","0","0"
"Work/school","0","0","2","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","1","0","1","1","0","0","2","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","2","0","0","0","1","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","1","0","1","1","0","0","1","0","0","0"
"family","0","0","0","7","1","0","4","2","1","3","0","6","0","0","1","0","0","6","1","2","1","1","2","3","3","0","0","0","1","1","1","2","1","2","4","1","0","1","6","4","1","0","3","0","1","3","0","0","0","7","0","3","3","2","0","0","0","0","1","0","2","4","0","2","1","1","2","0","1","0","0"
"Close","2","0","0","1","3","0","0","3","0","0","0","2","0","0","1","1","0","2","1","1","0","0","2","1","2","0","1","0","1","1","1","1","1","2","1","0","1","1","1","1","1","0","1","0","0","2","0","0","0","3","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0"
"Casey dislikes Alex","1","0","0","0","0","1","1","0","0","1","0","1","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Casey and Alex co-habitate","3","16","0","4","0","1","23","8","0","12","0","20","3","0","4","0","0","20","3","6","9","8","9","7","16","0","0","2","3","0","4","4","4","15","6","1","0","0","23","21","0","0","4","12","1","7","3","1","5","17","3","6","9","4","0","2","3","0","1","0","4","10","2","3","3","6","3","0","2","0","0"
"Alex's Phone","7","10","1","2","3","0","8","20","0","0","0","16","2","1","1","2","1","17","3","8","5","8","8","6","14","0","1","0","2","2","4","1","2","14","7","0","1","3","13","10","2","1","5","9","0","7","0","0","2","17","6","6","3","3","0","4","7","2","0","0","2","7","3","4","0","4","3","0","0","0","0"
"Alex's tablet","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0"
"Alex's Computer","2","9","0","3","0","1","12","0","0","15","0","14","1","0","2","0","0","14","1","3","5","6","6","5","9","0","0","2","2","0","4","4","3","9","6","1","0","0","14","11","0","0","3","6","1","4","2","1","3","12","2","5","8","4","0","0","0","0","1","0","3","7","2","2","3","5","1","0","2","0","0"
"A shared device","A shared device","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Already Logged in","10","20","1","6","2","1","20","16","1","14","0","39","1","1","4","2","1","36","3","14","11","13","16","13","24","0","1","2","3","1","6","6","7","23","16","1","1","2","28","21","3","2","10","18","2","9","4","0","7","29","8","11","12","11","1","4","7","2","1","0","6","16","5","7","4","11","6","1","2","0","0"
"Shared Password","0","3","0","0","0","0","3","2","0","1","0","1","3","0","0","0","0","3","0","1","2","2","1","1","3","0","0","0","1","0","2","1","0","2","0","0","0","0","3","3","0","0","0","1","0","1","0","1","0","3","1","0","2","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0"
"Guessing attack on Password","2","0","0","0","0","0","0","1","0","0","0","1","0","2","0","0","0","2","0","1","0","0","0","1","0","0","0","0","1","1","1","0","2","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","2","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0"
"Stolen Password","1","3","0","1","1","1","4","1","0","2","0","4","0","0","5","0","0","2","3","1","0","2","2","0","4","0","0","1","1","1","1","2","1","5","0","0","0","1","5","3","0","0","0","3","0","2","1","0","3","2","0","2","1","0","0","0","0","0","0","0","0","2","1","0","1","2","0","0","0","0","0"
"Observation","1","1","0","0","1","0","0","2","0","0","0","2","0","0","0","2","0","2","0","1","0","0","2","1","1","0","1","0","0","0","0","0","0","1","2","0","1","1","0","1","1","0","1","1","0","0","0","0","0","2","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0"
"Coerced Authentication","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"One Session","12","19","1","6","2","1","20","17","1","14","0","36","3","2","2","2","1","40","0","15","12","15","14","16","24","0","1","2","4","1","8","7","8","22","16","1","1","2","28","21","3","2","12","15","2","10","4","1","5","32","9","12","11","11","1","3","7","2","1","0","8","14","4","6","3","10","6","1","2","0","0"
"More than one session","0","3","1","1","1","0","3","3","0","1","0","3","0","0","3","0","0","0","5","0","0","2","2","0","4","0","0","0","1","1","1","1","1","5","0","0","0","1","4","3","0","1","0","3","0","2","0","0","2","3","0","2","2","0","0","1","1","0","0","0","0","4","1","2","1","1","0","0","0","0","0"
"short session time","6","6","0","2","1","0","6","8","0","3","0","14","1","1","1","1","1","15","0","15","0","6","5","6","8","0","1","0","2","1","3","3","4","5","7","0","1","1","11","5","2","1","6","4","1","4","0","0","2","13","7","4","1","3","0","1","5","1","0","0","4","3","0","2","0","1","3","0","0","0","0"
"long session time ","1","9","1","1","0","0","9","5","0","5","0","11","2","0","0","0","0","12","0","0","12","5","4","4","7","0","0","1","2","0","2","2","3","9","4","1","0","0","10","9","0","1","1","7","1","2","3","1","1","9","1","3","5","4","1","1","1","0","1","0","0","4","2","3","3","4","2","1","1","0","0"
"Daytime","7","7","1","1","0","1","8","8","1","6","0","13","2","0","2","0","0","15","2","6","5","17","1","6","11","0","0","1","1","0","3","5","1","11","4","0","0","1","14","7","0","1","5","5","1","5","1","1","1","16","4","7","4","4","0","0","4","0","0","0","3","6","2","4","2","3","1","0","0","0","0"
"Nighttime","2","11","0","2","2","0","9","8","0","6","0","16","1","0","2","2","1","14","2","5","4","1","16","3","11","0","1","0","1","0","1","1","2","11","5","1","1","1","10","11","3","0","3","10","1","4","0","0","4","12","4","3","6","3","0","4","4","1","1","0","1","6","3","3","2","6","2","0","1","0","0"
"impersonation","7","4","0","3","1","0","7","6","0","5","0","13","1","1","0","1","0","16","0","6","4","6","3","16","3","0","1","1","2","0","6","3","3","4","11","0","1","0","9","7","2","1","12","2","0","0","2","1","2","12","0","9","2","10","0","0","1","0","0","0","8","7","1","4","0","2","6","0","0","0","0"
"snooping","5","18","2","3","2","1","16","14","1","9","0","24","3","0","4","1","1","24","4","8","7","11","11","3","28","0","0","1","3","1","5","6","5","23","4","0","0","3","21","17","1","2","1","15","1","11","2","1","5","21","8","3","10","2","1","4","7","1","0","0","1","11","3","3","2","8","0","1","1","0","0"
"leak","leak","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"stealth","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0","1","0","1","0","0","1","1","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"destructive and misuse","1","1","0","0","0","1","2","0","0","2","0","2","0","0","1","0","0","2","0","0","1","1","0","1","1","0","0","2","0","0","1","2","1","2","1","0","0","0","2","1","0","0","0","0","0","1","2","0","2","0","0","2","0","1","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0"
"newsfeed","1","3","0","1","1","0","3","2","0","2","0","3","1","1","1","0","0","4","1","2","2","1","1","2","3","0","0","0","5","2","3","3","4","2","3","0","0","1","5","3","0","0","0","1","0","3","1","1","0","4","2","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0"
"likes","1","0","0","1","1","0","0","2","0","0","0","1","0","1","1","0","0","1","1","1","0","0","0","0","1","0","0","0","2","2","2","1","2","1","1","0","0","1","2","0","0","0","0","0","0","2","0","0","0","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"profile","3","4","0","1","1","0","4","4","0","4","0","6","2","1","1","0","0","8","1","3","2","3","1","6","5","0","0","1","3","2","9","3","3","4","4","0","0","1","7","4","0","1","3","1","0","3","1","1","2","6","2","2","2","5","0","0","1","1","0","0","3","2","1","1","0","2","1","0","0","0","0"
"Friends List","2","3","0","2","1","1","4","1","1","4","0","6","1","0","2","0","0","7","1","3","2","5","1","3","6","0","0","2","3","1","3","8","4","5","3","0","0","1","7","3","0","0","1","0","1","4","2","1","2","6","2","2","2","2","0","0","1","0","0","0","1","2","0","0","0","2","1","0","0","0","0"
"Photos or Videos","3","4","1","1","1","0","4","2","0","3","0","7","0","2","1","0","0","8","1","4","3","1","2","3","5","0","0","1","4","2","3","4","9","4","4","0","0","1","7","3","0","1","1","2","1","4","3","0","1","6","3","2","1","2","1","0","1","1","0","0","1","3","0","0","1","1","2","1","0","0","0"
"Messages","4","19","2","2","2","1","15","14","1","9","0","23","2","0","5","1","1","22","5","5","9","11","11","4","23","0","0","2","2","1","4","5","4","27","4","0","0","3","20","16","1","2","1","17","0","8","3","1","6","19","5","7","10","2","1","4","5","1","0","0","1","12","5","3","3","11","1","1","1","0","0"
"Posts / Comments and Status Updates","4","6","0","4","1","0","6","7","0","6","0","16","0","1","0","2","0","16","0","7","4","4","5","11","4","0","1","1","3","1","4","3","4","4","16","0","1","1","10","7","2","0","8","4","0","3","2","0","2","12","2","7","4","8","0","1","2","1","0","0","4","8","2","3","0","3","6","0","0","0","0"
"Apps and Games","0","0","0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","0","0"
"Settings","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0","1","0","1","0","0","1","1","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"Notifications","1","1","0","1","1","0","0","3","0","0","0","2","0","0","1","1","0","2","1","1","0","1","1","0","3","0","0","0","1","1","1","1","1","3","1","0","0","3","2","1","0","0","0","1","0","1","0","0","0","3","1","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Alex's Home","7","18","0","6","1","1","23","13","1","14","0","28","3","1","5","0","0","28","4","11","10","14","10","9","21","0","0","2","5","2","7","7","7","20","10","1","0","2","32","21","0","0","6","14","2","10","3","1","6","25","7","8","12","6","0","2","6","1","1","0","5","12","3","4","3","8","4","0","2","0","0"
"Casey's home","3","17","0","4","1","0","21","10","0","11","0","21","3","0","3","1","0","21","3","5","9","7","11","7","17","0","0","1","3","0","4","3","3","16","7","1","0","1","21","24","0","0","4","13","1","6","2","1","4","19","4","6","9","4","0","3","4","1","1","0","4","10","3","3","3","8","3","0","2","0","0"
"Home space","1","1","0","1","1","0","0","2","0","0","0","3","0","0","0","1","1","3","0","2","0","0","3","2","1","0","1","0","0","0","0","0","0","1","2","0","1","0","0","0","3","0","2","1","0","0","0","0","1","2","1","1","0","1","0","1","1","0","0","0","0","1","0","1","0","0","2","0","0","0","0"
"Work/Study space","1","0","2","0","0","0","0","1","0","0","0","2","0","0","0","0","0","2","1","1","1","1","0","1","2","0","0","0","0","0","1","0","1","2","0","0","0","0","0","0","0","3","1","0","0","1","1","0","0","2","0","2","0","1","1","0","0","0","0","0","1","1","0","2","1","0","0","1","0","0","0"
"Prank","7","0","0","3","1","0","4","5","0","3","0","10","0","1","0","1","0","12","0","6","1","5","3","12","1","0","1","0","0","0","3","1","1","1","8","0","1","0","6","4","2","1","12","0","0","0","0","0","1","11","0","8","1","7","0","0","1","0","0","0","8","5","0","4","0","0","4","0","0","0","0"
"Jealousy","0","18","0","0","0","0","12","9","0","6","0","18","1","0","3","1","1","15","3","4","7","5","10","2","15","0","0","0","1","0","1","0","2","17","4","0","0","1","14","13","1","0","0","18","0","3","1","0","4","12","4","2","8","2","0","4","5","0","0","0","0","9","4","2","2","8","1","0","1","0","0"
"Utilitarian","1","0","0","1","0","0","1","0","0","1","0","2","0","0","0","0","0","2","0","1","1","1","1","0","1","0","0","0","0","0","0","1","1","0","0","1","0","0","2","1","0","0","0","0","2","0","0","0","0","2","1","0","1","1","0","0","1","0","1","0","0","0","0","1","1","0","0","0","1","0","0"
"Curiosity","3","5","1","3","2","1","7","7","1","4","0","9","1","1","2","0","0","10","2","4","2","5","4","0","11","0","0","1","3","2","3","4","4","8","3","0","0","1","10","6","0","1","0","3","0","12","1","0","1","11","4","3","3","0","0","0","1","2","0","0","0","4","1","1","0","2","0","0","0","0","0"
"Harm","1","2","1","0","0","1","3","0","0","2","0","4","0","0","1","0","0","4","0","0","3","1","0","2","2","0","0","2","1","0","1","2","3","3","2","0","0","0","3","2","0","1","0","1","0","1","4","0","2","0","0","2","0","2","1","0","0","0","0","0","0","1","0","0","1","1","2","1","0","0","0"
"Bored","0","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","1","0","0","0","1","0","1","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Deliberate","1","5","0","0","0","1","5","2","0","3","0","7","0","0","3","0","1","5","2","2","1","1","4","2","5","0","0","2","0","0","2","2","1","6","2","0","0","0","6","4","1","0","1","4","0","1","2","0","7","0","1","2","3","2","0","2","2","0","0","0","1","3","0","1","0","2","1","0","0","0","0"
"Opportunistic","11","15","1","7","3","0","17","17","1","12","0","29","3","2","2","2","0","32","3","13","9","16","12","12","21","0","1","0","4","2","6","6","6","19","12","1","1","3","25","19","2","2","11","12","2","11","0","1","0","35","8","12","10","7","0","2","6","2","1","0","7","14","4","7","3","8","4","0","2","0","0"
"Undiscovered","3","6","0","0","0","0","3","6","0","2","0","8","1","1","0","0","1","9","0","7","1","4","4","0","8","0","0","0","2","1","2","2","3","5","2","0","0","1","7","4","1","0","0","4","1","4","0","0","1","8","9","0","0","0","0","1","4","1","0","0","0","0","0","0","0","1","0","0","0","0","0"
"Traced","7","3","1","3","1","1","6","6","0","5","0","11","0","1","2","0","0","12","2","4","3","7","3","9","3","0","0","2","0","0","2","2","2","7","7","0","0","0","8","6","1","2","8","2","0","3","2","0","2","12","0","14","1","5","0","0","1","1","0","0","5","8","3","5","1","4","4","0","0","0","0"
"Admission","0","9","0","3","0","0","9","3","1","8","0","12","2","0","1","1","0","11","2","1","5","4","6","2","10","0","0","0","1","0","2","2","1","10","4","1","0","1","12","9","0","0","1","8","1","3","0","1","3","10","0","1","13","2","0","2","2","0","1","0","1","9","1","3","2","4","0","0","2","0","0"
"Immediatly noticeable","4","3","0","2","0","0","4","3","0","4","0","11","0","0","0","0","0","11","0","3","4","4","3","10","2","0","0","1","1","0","5","2","2","2","8","1","0","0","6","4","1","1","7","2","1","0","2","0","2","7","0","5","2","11","0","0","1","0","1","0","4","5","1","5","1","2","4","0","1","0","0"
"blackmail","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"
"Relief","0","4","0","0","0","0","2","4","0","0","0","4","0","0","0","1","1","3","1","1","1","0","4","0","4","0","0","0","0","0","0","0","0","4","1","0","0","1","2","3","1","0","0","4","0","0","0","0","2","2","1","0","2","0","0","4","4","0","0","0","0","2","1","1","0","1","0","0","0","0","0"
"Regret","2","6","0","0","0","0","3","7","0","0","0","7","1","0","0","1","1","7","1","5","1","4","4","1","7","0","0","0","0","0","1","1","1","5","2","0","0","1","6","4","1","0","1","5","1","1","0","0","2","6","4","1","2","1","0","4","8","0","0","0","0","3","1","2","0","1","1","0","0","0","0"
"Distress","2","0","0","0","1","0","0","2","0","0","0","2","0","1","0","0","0","2","0","1","0","0","1","0","1","0","0","0","1","1","1","0","1","1","1","0","0","0","1","1","0","0","0","0","0","2","0","0","0","2","1","1","0","0","0","0","0","2","0","0","0","0","1","0","0","1","0","0","0","0","0"
"Empathy","0","0","0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","0","0"
"Debased","Debased","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Amusement","4","0","0","2","0","0","4","2","0","3","0","6","0","1","0","0","0","8","0","4","0","3","1","8","1","0","0","0","0","0","3","1","1","1","4","0","0","0","5","4","0","1","8","0","0","0","0","0","1","7","0","5","1","4","0","0","0","0","0","0","8","2","0","1","0","0","1","0","0","0","0"
"Anger","3","10","1","4","0","0","10","7","1","7","0","16","1","1","2","1","0","14","4","3","4","6","6","7","11","0","0","1","0","0","2","2","3","12","8","0","0","1","12","10","1","1","5","9","0","4","1","0","3","14","0","8","9","5","0","2","3","0","0","0","2","18","2","6","2","6","3","0","1","0","0"
"Violated","1","4","0","0","1","0","2","3","0","2","0","5","0","0","1","0","0","4","1","0","2","2","3","1","3","0","0","0","0","0","1","0","0","5","2","0","0","0","3","3","0","0","0","4","0","1","0","0","0","4","0","3","1","1","0","1","1","1","0","0","0","2","5","0","1","5","0","0","0","0","0"
"Behaviour Change","3","2","1","2","0","0","3","4","0","2","0","7","0","0","0","0","0","6","2","2","3","4","3","4","3","0","0","0","0","0","1","0","0","3","3","1","0","0","4","3","1","2","4","2","1","1","0","0","1","7","0","5","3","5","0","1","2","0","1","0","1","6","0","8","2","0","2","0","1","0","0"
"Recovery","0","2","1","1","0","0","3","0","0","3","0","4","0","0","1","0","0","3","1","0","3","2","2","0","2","0","0","0","0","0","0","0","1","3","0","1","0","0","3","3","0","1","0","2","1","0","1","0","0","3","0","1","2","1","1","0","0","0","1","0","0","2","1","2","4","1","0","1","1","0","0"
"Relationship Change","1","9","0","1","1","0","6","4","1","5","0","11","1","0","2","0","0","10","1","1","4","3","6","2","8","0","0","1","0","0","2","2","1","11","3","0","0","0","8","8","0","0","0","8","0","2","1","0","2","8","1","4","4","2","0","1","1","1","0","0","0","6","5","0","1","11","1","0","1","0","0"
"debased","2","2","0","2","1","0","3","3","0","1","0","6","0","0","0","1","0","6","0","3","2","1","2","6","0","0","1","1","1","0","1","1","2","1","6","0","1","0","4","3","2","0","4","1","0","0","2","0","1","4","0","4","0","4","0","0","1","0","0","0","1","3","0","2","0","1","6","0","0","0","0"
"Punishment","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"
"Justified","0","1","0","1","0","0","2","0","0","2","0","2","0","0","0","0","0","2","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","2","2","0","0","0","1","1","0","0","0","0","2","0","0","2","1","0","0","0","0","1","0","0","1","0","1","1","1","0","0","2","0","0"
"Recidivism","Recidivism","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shared Device","Shared Device","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
